ROI,Set,Object Class,Mean green (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean red (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean VARI (44411C83-609B-4758-93D3-FF62DF246855),Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D),Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC),Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8),GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B),GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
B,Train,Grass,221.1726837,30.99243927,211.049881,33.21693802,0.000161676,0.010483894,0.017161332,2.379429102,0.419399291,1.284535766,127.191658,35.62435532
B,Train,Grass,222.449234,22.43525124,215.3231812,23.07669258,0,0,0.012052356,4.149036407,0.585602105,2.26390934,124.7089767,37.15284729
B,Train,Grass,235.7548218,29.48690224,234.6070862,29.05830956,0.607225955,0.484715283,0.00173673,2.672492027,0.389264673,1.460454106,125.9584579,34.75442886
B,Train,Grass,235.8702087,15.30352592,236.6632385,14.15617847,0.011934142,0.23476097,-0.001200817,2.238285065,0.863494813,0.955303371,126.7882767,33.66835785
B,Train,Grass,236.677948,25.54908562,234.9086456,26.77955055,0.198388353,0.400961101,0.00269099,3.790840387,0.411073148,1.971228719,126.1059723,34.32341385
B,Train,Grass,242.5875092,20.13911438,240.206131,21.67569351,0.114192784,0.277047396,0.003518116,3.250361919,0.732511878,1.851560712,125.8482361,33.96821976
B,Train,Grass,47.96445465,6.722399712,22.91275215,6.106010914,0,0,0.212378442,2.300507784,0.425445348,1.356286883,126.4959259,32.35310745
B,Train,Grass,52.24106598,12.02716351,36.0108223,11.92235184,0.010134889,0.091815613,0.114398949,1.759311199,0.395050913,0.669794977,126.6303177,34.46249008
B,Train,Grass,88.20632172,20.38380051,68.34357452,22.39018631,0,0,0.088699959,2.105201006,0.162514269,1.593387365,127.7655106,36.60157394
B,Train,Gravel,107.9390793,24.06500053,94.40629578,27.32005119,0.03974152,0.138680488,0.042333804,2.038766623,0.728917181,1.208154321,126.7407227,35.23554611
B,Train,Gravel,141.7518463,43.6939888,143.1483917,46.18645859,0.102186061,0.21611166,-0.003294003,2.226673603,0.844114482,1.477434516,125.9253311,36.99785614
B,Train,Gravel,153.4585266,37.93193054,153.5277405,38.77064514,1.615335941,2.250440359,-0.000157254,3.296741009,0.774527967,1.835882545,126.9627762,36.85138702
B,Train,Gravel,170.1847534,44.96244049,180.4120331,46.30168533,0.042195365,0.179926366,-0.020150533,2.952937365,0.875001967,2.018286943,126.3575974,36.82364273
B,Train,Gravel,196.1377106,35.08345795,182.6621399,33.79056549,0.412312031,0.619253516,0.025660083,2.629567385,0.893550932,1.723133445,126.35009,35.90859985
B,Train,Gravel,206.4251099,34.68256378,211.8759613,33.27457047,0.018745044,0.306184292,-0.009016667,3.816840172,0.939734697,2.355376482,125.7128754,37.28837585
B,Train,Gravel,210.0095367,33.86889267,213.6660309,34.66033173,0,0,-0.005941619,4.769498825,0.306064546,2.438391447,125.8083954,36.77589798
B,Train,Gravel,220.3436279,24.29013443,231.4156647,21.74225426,0.007659043,0.064450257,-0.017162982,2.905170202,0.925261676,1.66654551,128.0458984,33.49617386
B,Train,Gravel,232.8278046,19.5953083,239.7674713,16.70827675,0.037582565,0.165363073,-0.01016173,2.106443405,0.262719482,0.883823037,127.2133331,34.29650879
B,Train,Gravel,233.0157013,10.73797321,241.0752563,11.10587692,0.429469258,1.839770913,-0.011891237,5.359684944,0.553690195,2.984421253,126.5476913,35.49801636
B,Train,Gravel,233.3714294,6.271930218,235.4096222,6.200957775,1.14251864,4.106413841,-0.002986148,2.63057518,0.720159471,1.621187449,125.943985,34.75185776
B,Train,Gravel,234.2260132,15.49778461,241.0012817,15.30610371,3.258749247,2.189219475,-0.010020912,2.68200016,0.793492258,1.20521307,125.8652649,34.94176102
B,Train,Gravel,235.3986816,2.74759984,235.6890259,2.367232323,0,0,-0.000419648,1.926340222,0.515258014,0.955627859,126.4144669,25.94961357
B,Train,Gravel,239.3915558,14.18987179,246.24617,10.92968273,2.262794256,3.773779392,-0.009823055,2.008012772,0.849521041,1.213380814,126.4046555,34.20515442
B,Train,Gravel,241.3297577,6.405406952,241.7199554,5.354791164,0.041176502,0.740833819,-0.000546459,2.244761229,0.336036474,1.141141772,126.5679474,30.13886833
B,Train,Gravel,246.2926636,5.925133228,246.64534,4.336008549,0,0,-0.000488311,1.607865334,0.157756269,0.743667126,127.2003021,28.70168304
B,Train,Gravel,246.3424988,3.434090614,247.5514832,1.81870234,0,0,-0.001679949,1.539781213,0.393381387,0.480326384,126.447876,26.37043953
B,Train,Gravel,246.5501251,8.452135086,250.6775055,6.634310722,0.121461488,0.474414945,-0.00573123,2.640992403,0.831922948,1.200991392,127.3141098,30.00266647
B,Train,Gravel,247.1882782,9.251820564,250.1317139,6.875546932,0.01266438,0.091168672,-0.00408581,2.699574709,0.891454697,1.628709912,127.2466507,29.70714188
B,Train,Gravel,247.3760223,11.55870914,248.8048859,8.296723366,1.536527753,2.331029654,-0.001961941,2.240992308,0.533121288,1.471185088,126.2881088,32.12039566
B,Train,Gravel,247.9298553,5.233285904,251.0153046,3.591286421,0.087221101,0.225670084,-0.004248546,2.320651293,0.865967631,1.722022653,126.4511948,30.34984398
B,Train,Gravel,248.3746338,7.954473019,251.3488464,5.177217484,0.126567915,1.081356168,-0.004109015,2.984731913,0.754208088,1.638513088,126.087265,32.4915123
B,Train,Gravel,249.5652313,4.286326885,248.9716339,3.693158388,0,0,0.000801004,1.566937089,0.708970964,0.63165015,125.0266113,28.17974854
B,Train,Gravel,250.3979187,2.542314053,250.2591095,1.893478394,0.002028031,0.096984424,0.000186752,2.093663692,0.571165025,0.966689289,126.4883804,24.4107132
B,Train,Gravel,251.1366425,6.048720837,251.0024719,4.475947857,0.055670254,0.451856196,0.000181102,6.338510036,0.970737636,3.326940536,126.0584412,26.3841362
B,Train,Gravel,251.2105103,5.244310856,252.4293823,3.953322887,0,0,-0.001662044,1.752833247,0.386621475,1.003975868,126.7836227,28.41766739
B,Train,Gravel,251.6218872,2.042785406,253.316803,1.732035756,0,0,-0.002248827,2.608972788,0.95667541,1.123598337,124.8153305,24.52735519
B,Train,Gravel,252.0215302,2.550124168,253.1220551,2.183515072,0,0,-0.001453886,3.080553293,0.834334195,1.962306857,125.6342926,22.45549011
B,Train,Gravel,252.1340179,2.778262138,252.243988,2.704805613,0.122893006,0.57785207,-0.000145724,1.803103089,0.594801366,0.526204288,123.9386826,31.50255966
B,Train,Gravel,252.2661133,2.549460173,252.2783051,2.623244524,0,0,-1.61E-05,1.509533882,0.857750595,0.701256156,125.6053848,25.81972694
B,Train,Gravel,252.2671661,2.965840101,252.5743256,2.177526712,0.068110645,0.237440303,-0.000415171,2.479231834,0.98826009,1.88016665,126.2214279,27.4169178
B,Train,Gravel,252.9276123,1.655309796,252.9335785,1.793821335,0.15907453,0.54569447,-7.89E-06,3.401758671,0.963505268,2.521081686,125.0164642,23.7425251
B,Train,Gravel,253.8340149,3.231473923,253.7441711,2.510721207,0.012680479,0.097943723,0.00011836,2.090559006,0.936340511,1.187896013,125.5915909,22.34868813
B,Train,Gravel,56.21603012,16.38780212,48.98231506,19.17381859,0.744137585,2.505014658,0.043635033,2.731964588,0.766715467,1.508656263,126.2404938,32.12621689
B,Train,Gravel,72.76416779,13.32634735,57.8585968,15.18253899,0.058881577,0.211628914,0.069750011,2.495007277,0.942080438,1.662325025,126.4644547,33.09135437
B,Train,Lantana camara,142.1207581,50.70758057,103.2159042,46.61308289,0.208426118,0.331815183,0.117200777,4.182925701,0.516525507,2.277228355,129.2798767,37.58684921
B,Train,Lantana camara,143.5422516,45.64779663,129.8019104,44.03974152,1.617445827,0.529794812,0.036800295,1.861812949,0.292474449,1.007679462,126.3604126,36.84091187
B,Train,Lantana camara,143.9257965,40.24041748,145.4141388,39.71297073,4.299402237,2.813184023,-0.003652917,5.22931385,0.456505448,2.63418293,127.2313919,37.04760361
B,Train,Lantana camara,145.4423065,40.18439102,101.8635712,37.83922577,1.043118477,0.512163818,0.130371585,2.289885283,0.30445987,1.375344276,127.2752151,37.11228943
B,Train,Lantana camara,147.6862335,41.01576996,130.0219879,38.65108109,0.184015229,0.341632962,0.045547429,2.627991438,0.190894008,1.651462317,128.6897888,37.25440598
B,Train,Lantana camara,173.3126068,42.56448364,131.2339478,43.41612625,1.136259794,0.920461357,0.099163227,3.316129446,0.837477863,1.866930842,126.7505798,37.07964325
B,Train,Lantana camara,179.2294159,44.54577637,159.1994781,43.52264404,0.75247699,0.782372534,0.042942096,2.310530424,0.720814466,1.08970964,127.2321243,36.45707703
B,Train,Lantana camara,179.7203522,34.07659149,141.7663727,32.19744492,1.944902539,2.010782242,0.085256331,3.05121398,0.715808272,1.972118855,125.2280807,37.49317169
B,Train,Lantana camara,190.9290161,40.55421448,163.2838287,39.26545715,1.049752712,0.969234943,0.057151295,3.35635519,0.711701035,2.040450573,124.4837723,38.01334381
B,Train,Lantana camara,193.3101044,44.37863541,160.9571381,45.78062439,1.647993088,0.736088157,0.066203043,1.712999582,0.528699577,0.964691639,126.9596863,36.4545784
B,Train,Lantana camara,198.7245941,34.70835495,180.8811035,30.78415871,2.175198078,0.657674909,0.034567006,3.348325729,0.939191759,1.99162209,125.2166595,37.24082184
B,Train,Lantana camara,205.6017456,30.20435143,172.6511078,31.01370811,0.551703513,0.388946474,0.062590703,3.154710531,0.564237475,1.827072859,124.693924,38.1714859
B,Train,Lantana camara,206.6442871,53.38309479,175.2329407,59.37330246,2.004679441,0.273483187,0.060111608,2.382049561,0.567788124,1.854642868,126.2541733,36.43943405
B,Train,Lantana camara,210.3496399,31.11593437,164.4023895,31.1776886,0.478424072,0.440552533,0.08709985,3.071903944,0.733257711,2.076196194,125.472168,37.34316254
B,Train,Lantana camara,214.0304565,46.58994293,170.7726135,54.90655899,4.970997334,0.405479997,0.081314065,2.062430859,0.316234171,1.035029769,126.296669,36.64841843
B,Train,Lantana camara,219.9513397,35.98534012,180.5792236,43.83831787,2.110721588,1.927401066,0.069875211,3.295815945,0.699320912,1.94937551,124.748436,37.16469955
B,Train,Lantana camara,224.7551727,25.3535862,192.4562988,28.11171341,1.593963146,0.661976397,0.05789249,2.870716333,0.693821847,1.885810971,124.8355026,36.9135704
B,Train,Lantana camara,229.2516022,36.65230942,199.4009399,46.18884659,1.863885403,0.650879145,0.050710045,3.61168623,0.479635835,1.815931439,124.5562592,36.8855629
B,Train,Lantana camara,231.5730896,28.32872391,203.6186066,35.40437317,1.205380321,0.488417029,0.046424974,3.566200972,0.521971285,1.595361471,124.3632813,37.05242157
B,Train,Lantana camara,38.94757462,7.455833435,15.03722191,5.499321461,2.470604181,2.652739763,0.218007714,2.245142221,0.222165897,0.883892953,127.2701263,33.76873016
B,Train,Lantana camara,46.4569397,27.69352913,28.97441101,23.33511734,1.954059601,2.685804129,0.145942867,3.126257896,0.819773197,1.890370131,126.9443436,33.93001175
B,Train,Lantana camara,48.75779724,22.21561623,24.68427277,17.41547585,3.738800049,1.708115101,0.197822511,2.044373274,0.256382406,1.127522111,126.3538284,32.96383286
B,Train,Lantana camara,56.71221924,15.14370632,19.61664009,10.97977734,2.35352087,1.483422875,0.258125216,2.266840935,0.717931151,1.322053075,127.091301,35.78962326
B,Train,Lantana camara,63.81151581,18.09263229,26.01616096,14.37378788,0.863012671,1.215619326,0.235837519,2.146058083,0.63630861,1.219603419,126.9356613,34.93925095
